Time[GMT],current_u[cm/s](10m),current_v[cm/s](10m),current_u[cm/s](14m),current_v[cm/s](14m),current_u[cm/s](18m),current_v[cm/s](18m),current_u[cm/s](22m),current_v[cm/s](22m),current_u[cm/s](26m),current_v[cm/s](26m),current_u[cm/s](30m),current_v[cm/s](30m),current_u[cm/s](34m),current_v[cm/s](34m),current_u[cm/s](38m),current_v[cm/s](38m),current_u[cm/s](42m),current_v[cm/s](42m),current_u[cm/s](46m),current_v[cm/s](46m),current_u[cm/s](50m),current_v[cm/s](50m),current_u[cm/s](54m),current_v[cm/s](54m),current_u[cm/s](58m),current_v[cm/s](58m),current_u[cm/s](62m),current_v[cm/s](62m)
2013/11/1 0:00,6.15,-0.63,5.52,-0.61,4.43,-1.15,3.06,-1.47,3.16,-2.48,1.24,-2.34,-1.03,-0.73,-1.5,-0.56,-0.36,-0.53,3.42,1.46,6.64,4.96,6.2,7.44,3.35,7.51,1.09,5.67
2013/11/1 1:00,6.7,-4.12,4.6,-3.09,2.21,-5.18,2.42,-5.85,-0.15,-6.01,-3.47,-5.77,-6.93,-5.05,-7.99,-4.64,-6.07,-5.1,-3.37,-7.1,0.3,-6.81,3.01,-4.73,2.91,-2.67,-0.38,-2.52
2013/11/1 2:00,2.95,-7.25,1.58,-6.21,2.08,-5.43,1.42,-6.36,0.64,-6.18,-1.14,-6.52,-3.82,-4.93,-5.56,-3.69,-5.68,-5.71,-5.23,-7.87,-3.09,-11.09,-0.87,-10.83,-0.48,-10.4,-1.71,-10.14
2013/11/1 3:00,5.2,-4.69,5.76,-3.78,4.56,-2.27,4.66,-4.64,3.74,-6.07,1.01,-6.38,-2.06,-5.23,-4.52,-5.04,-6.9,-6.5,-6.66,-8.31,-5.01,-10.63,-4.02,-11.48,-2.86,-11.85,-2.56,-11.13
2013/11/1 4:00,12.44,-7.18,11.1,-8.95,11.06,-9.48,10.02,-10.22,7.94,-11.27,7.26,-12.11,4.76,-10.78,2.27,-9.14,0.43,-8.24,-2.27,-9.69,-2.84,-12.27,-2.26,-14.49,-0.4,-16.12,0.8,-14.6
2013/11/1 5:00,16.93,-3.71,16.2,-5.09,13.84,-5.6,11.83,-6.53,9.43,-7.26,8.31,-8.02,7.84,-7.85,5.42,-5.77,1.17,-4.87,-3.05,-5.74,-5.22,-7.56,-3.4,-10.76,-1.04,-12.34,-0.75,-13.61
2013/11/1 6:00,16.79,-8.04,15.78,-9.19,14.11,-10.22,13,-10.04,10.38,-10,8,-10.1,5.36,-10.7,2.5,-11.26,0.39,-9.5,-2.07,-8.27,-4.24,-7.68,-4.52,-8.81,-2.93,-10.93,-1.45,-12.36
2013/11/1 7:00,22.34,-11.16,21.18,-11.82,19.31,-11.87,16.34,-10.69,13.07,-9.91,8.45,-9.86,5.87,-9.29,4.85,-5.94,4.43,-3.56,2.51,-0.7,0.53,1,1.41,-0.51,3.46,-2.08,6.47,-3.04
2013/11/1 8:00,15.86,-1.95,15.03,-1.26,12.8,-1.52,10.26,-2.09,6,-1.51,3.03,-0.33,1.2,1.2,0.65,1.98,0.51,5.18,-0.9,7.04,-3.65,8.19,-4.22,6.97,-2.2,5.5,-0.41,3.74
2013/11/1 9:00,16.62,-5.79,17.17,-6.57,15.05,-6.8,13.72,-6.58,10.74,-6.75,6.02,-6,1.46,-4.78,1.05,-2.4,3.12,-0.62,4.02,1.23,0.98,3.96,-0.31,4.09,0.77,1.59,2.81,-0.29
